Description,No,Barcode,Serial Number,Status,Second,Cost
DETACHED MAISONETTES WITH SQ(MBAGATHI),1,1006823,,ACTIVE,Current,140735238.2
LEARNING CENTRE(MBAGATHI),2,1006826,,ACTIVE,Current,38684737.2
MBAGATHI FLATS A-F,3,1006821,,ACTIVE,Current,173906244.0
MBAGATHI FLATS G-N,4,1006822,,ACTIVE,Current,161417674.8
RESIDENTIAL HOUSES - MBAGATHI,5,1006825,,ACTIVE,Current,1945260.0
SHOPS(MBAGATHI),6,1006824,,ACTIVE,Current,3146998.4
STAFF HOUSES LAND,1,1006835,,ACTIVE,Current,4143768160.0
