Description,No,Barcode,Serial Number,Status,Second,Cost
PANASONIC PHONE,17,1006912,7LBFC696818,ACTIVE,Acquired,6000.0
PANASONIC TELEPHONE,18,1007012,KX-NT343X-B,ACTIVE,Acquired,6000.0
PAPER SHREDDER(PAPER MONSTER),33,1006925,68790Z-04692-U,ACTIVE,Current,18480.0
PHOTOCOPIER - KYOCERA TASKALFA 180,4,1006837,1102KL3NL0,ACTIVE,Current,25000.0
PHOTOCOPYING MACHINE,5,1007024,L6886161620,ACTIVE,Current,77000.0
PORTABLE HOOD,53,1007636,V-778,ACTIVE,Current,12000.0
POWER SUPPLY LIFE TECHNOLOGIES,34,1007870,9A040009-2,ACTIVE,,
PRINTER I-SENSYS MF4690PL,36,1006927,WBB02147,ACTIVE,,
SAMSUNG MONITOR,69,1007754,HA19HCJLC0327-6B,ACTIVE,Current,9000.0
SAMSUNG PRINTER,37,1007775,Z4V7BKCZ602437E,ACTIVE,,
SAMSUNG VACUUM CLEANER MODEL: SC56B0,38,1006842,08818FAD900033M,ACTIVE,,
SANYO FAN,39,1007141,3670,ACTIVE,Current,5000.0
SANYO FRIDGE,16,1007648,40800123,ACTIVE,Current,32000.0
SANYO MODEL: SF-C18K(W) FRIDGE,17,1006839,0707000023,ACTIVE,Current,25000.0
SIEMENS TELEPHONE,22,1007524,000183218DCA,ACTIVE,Acquired,6000.0
SMART APC UPS,33,1007882,JS0745014240,ACTIVE,Current,5000.0
SONY PROJECTOR VPL-EX100,43,1006863,5180365,ACTIVE,Current,35000.0
STAND-BY GENERATOR CATEPILLAR MODEL: 550F,44,1007393,4B202233,ACTIVE,Current,50000.0
STAND-BY GENERATOR CATEPILLAR MODEL:550,45,1007395,CYY00318,ACTIVE,Current,50000.0
TOSHIBA LAPTOP,5,1007881,ZA116979H,ACTIVE,Current,40000.0
ULTRALOW FREEZER HARRIS,18,1007877,505K-483381-SK,ACTIVE,Current,23094.0
VIDYO CPU UNIT,75,1006902,63764857,ACTIVE,,
XEROX SCANNER(DOCUMATE 252),17,1007189,542TW105AE251400301,ACTIVE,,
